,Make,Model,Price:AK,Price:AL,Price:AZ,Price:AR,Price:CA,Price:CO,Price:CT,Price:DE,Price:FL,Price:GA,Price:HI,Price:ID,Price:IL,Price:IN,Price:IA,Price:KS,Price:KY,Price:LA,Price:ME,Price:MD,Price:MA,Price:MI,Price:MN,Price:MS,Price:MO,Price:MT,Price:NE,Price:NV,Price:NH,Price:NJ,Price:NM,Price:NY,Price:NC,Price:ND,Price:OH,Price:OK,Price:OR,Price:PA,Price:RI,Price:SC,Price:SD,Price:TN,Price:TX,Price:UT,Price:VT,Price:VA,Price:WA,Price:WV,Price:WI,Price:WY,assembled_name,price,city_mpg,highway_mpg
20,Acura,RDX,1258.5,1072,1292.5,1562,1946,1723.5,1693,1820,2012,2175,1625,1289.5,1044,1173.5,1225.5,1080,1407,1566,2183,884,1555.5,1373.5,2361.5,1220,1521,1228,1603,1265.5,1602.5,1115.5,1507.5,1395,1725,1013,1196.5,1191.5,2556.5,1253.5,1202.5,1947,1337,1289,1452,1617,1055.5,1184,1019,1399,1416,943.5,Acura RDX,40595,21,27
21,Acura,RDX A-Spec,1266,1124,1326.5,1560.5,1959,1728,1668.5,1826,2033,2180.5,1631.5,1340,1058.5,1206.5,1228.5,1088.5,1417,1578,2186,897.5,1581,1389,2423,1273.5,1519,1247.5,1611.5,1277,1597,1101,1436,1395.5,1809.5,1071,1207.5,1176,2490.5,1262.5,1199.5,1911.5,1365,1308,1437.5,1669,1037,1189.5,1026,1404.5,1428.5,941.5,Acura RDX A-Spec,45497.5,22,27
23,Acura,RDX Tech,1290.5,1099.5,1316.5,1611,1996.5,1773.5,1735,1871,2086.5,2202,1648,1325,1079,1203,1255,1114,1464,1612.5,2215.5,914.5,1599,1432.5,2423,1248.5,1578.5,1265.5,1660,1313,1637,1147,1539.5,1436.5,1787.5,1046.5,1252.5,1214.5,2606.5,1285,1238.5,1982.5,1358.5,1352,1480.5,1653,1091,1216,1040,1421.5,1461.5,970.5,Acura RDX Tech,42795,22,28
38,Alfa-Romeo,Giulia,1907,1599,1923,2483,2980,2510,2246,2491,2668,2488,2357,1667,1530,1818,1688,1625,2314,2155,2658,1336,2133,1841,3319,1889,2099,1888,2533,2006,2144,1593,1819,2089,2496,1463,1976,1618,2957,1705,1663,2626,1830,2186,1858,2354,1499,1630,1618,2094,2013,1380,Alfa-Romeo Giulia,45190,23,31
49,Alfa-Romeo,Stelvio,1720,1470,1793,2265,2481,2346,2035,2293,2652,2376,2001,1527,1495,1681,1582,1538,2206,2053,2558,1164,1954,1748,3222,1806,1947,1749,2391,1901,1972,1401,1717,1927,2324,1364,1905,1490,2570,1631,1559,2239,1669,2138,1722,2163,1308,1583,1312,1883,1939,1291,Alfa-Romeo Stelvio,45940,22,29
54,Alfa-Romeo,Stelvio TI,1589,1482,1672,2076,2500,2391,2036,2306,2656,2381,2002,1541,1387,1571,1590,1561,1912,2054,2568,1161,1953,1753,3015,1823,1970,1623,2125,1723,1974,1409,1711,1774,2360,1389,1706,1419,2352,1578,1569,2242,1689,1884,1722,2184,1445,1496,1312,1896,1958,1203,Alfa-Romeo Stelvio TI,46840,22,28
72,Audi,A4 2.0T Premium Plus,1694,1659,1853,2154,2455,2267,2165,2392,2447,2528,2318,1723,1365,1788,1554,1485,1913,2106,2853,1221,2099,1758,3157,1751,1929,1694,2188,1752,1888,1492,1968,1835,2376,1446,1671,1653,2644,1640,1733,2508,1853,1816,1759,2349,1545,1566,1639,1678,1933,1304,Audi A4 2.0T Premium Plus,48340,21,30
101,Audi,Etron Premium Plus,1683,1601,1843,2132,2464,2358,2128,2483,2633,2522,2205,1647,1439,1753,1579,1474,1949,2145,2721,1188,2184,1769,3201,1825,1949,1732,2189,1769,1895,1414,1823,1817,2485,1492,1713,1479,2460,1679,1639,2337,1815,1896,1694,2420,1377,1573,1472,1824,1975,1248,Audi Etron Premium Plus,86340,0,0
104,Audi,Etron Prestige,1800,1667,2002,2163,2623,2459,2148,2506,2666,2543,2231,1841,1458,1858,1602,1633,2079,2191,2900,1197,2210,1965,3322,1894,2046,1931,2324,1904,1898,1492,1837,1836,2688,1625,1777,1577,2599,1695,1686,2364,1944,2004,1715,2495,1441,1620,1492,1981,2047,1279,Audi Etron Prestige,86340,0,0
108,Audi,Q3 2.0T Prestige,1451,1317,1536,1825,2301,2060,1854,2052,2247,2311,1836,1424,1222,1371,1405,1261,1607,1864,2276,1019,1850,1400,2616,1509,1721,1402,1843,1467,1717,1212,1573,1574,2084,1277,1422,1304,2085,1479,1406,2063,1516,1528,1531,1928,1172,1375,1226,1671,1700,1091,Audi Q3 2.0T Prestige,44840,0,0
