name,price,city_mpg,highway_mpg
2017 Kia Forte S,15989.0,29.0,38.0
2017 Mercedes-Benz E300,57175.0,22.0,30.0
2018 BMW 340 i xDrive,51444.0,21.0,31.0
2018 BMW 740 i xDrive,98395.0,20.0,29.0
2018 BMW X2 sDrive28i,35995.0,23.0,32.0
2018 Buick Envision Premium II,39923.0,20.0,26.0
2018 Chevrolet Equinox Premier w/3LZ,30495.0,28.0,38.0
2018 Chevrolet Malibu Base,28995.0,0.0,0.0
2018 Chevrolet Trax LT,25845.0,24.0,30.0
2018 Chevrolet Work Van,29990.0,0.0,0.0
2018 Chrysler Pacifica Limited,42788.5,19.0,28.0
2018 FIAT 500 Lounge,22630.0,28.0,33.0
2018 FIAT 500 Pop,13290.0,28.0,33.0
2018 FIAT 500C Pop,19310.666666666668,28.0,33.0
2018 Ford EcoSport SES,27735.0,23.0,29.0
2018 Ford Explorer XLT,28730.0,16.0,22.0
2018 Ford F-150 Limited,57353.0,18.0,25.0
2018 Ford Fusion SE,22580.0,20.0,29.0
2018 Ford Transit-250 148 WB Medium Roof Cargo,30927.0,0.0,0.0
2018 GMC Work Van,63464.0,0.0,0.0
2018 Honda Accord EX-L,30865.0,30.0,38.0
2018 Jeep Cherokee Overland,31335.0,21.0,30.0
2018 Jeep Wrangler Unlimited Sahara,45351.0,17.0,23.0
2018 Kia Niro Touring,28999.0,46.0,40.0
2018 RAM 1500 ST,28999.0,17.0,25.0
2018 Toyota Prius Four,33781.0,54.0,50.0
2018 Toyota Prius Four Touring,31698.666666666668,54.0,50.0
2018 Volvo V90 Cross Country T5,60395.0,23.0,31.0
2019 Acura ILX Base,26114.0,24.0,34.0
2019 Acura ILX Technology Package,29550.0,24.0,34.0
2019 Alfa Romeo Giulia Base,45190.0,23.0,31.0
2019 Alfa Romeo Stelvio Base,45940.0,22.0,29.0
2019 Alfa Romeo Stelvio Ti,46840.0,22.0,28.0
2019 Audi A4 2.0T Premium Plus,48340.0,0.0,0.0
2019 Audi A5 2.0T Premium quattro,52545.0,23.0,34.0
2019 Audi A5 2.0T Prestige,57500.0,0.0,0.0
2019 Audi A6 45 Premium,60940.0,24.0,32.0
2019 Audi Q5 2.0T Prestige,57855.0,0.0,0.0
2019 Audi Q7 45 Premium Plus,56346.0,0.0,0.0
2019 Audi Q7 55 Premium Plus,66661.0,0.0,0.0
2019 Audi Q7 55 Prestige,71253.0,0.0,0.0
2019 Audi Q8 3.0T Prestige,80840.0,0.0,0.0
2019 Audi S3 2.0T Premium Plus,49506.5,22.0,29.0
2019 Audi S4 3.0T Premium Plus,61567.5,0.0,0.0
2019 Audi S4 3.0T quattro Premium,55892.5,21.0,30.0
2019 Audi e-tron Premium Plus,78508.33333333333,74.0,73.0
2019 Audi e-tron Prestige,86340.0,0.0,0.0
2019 Audi e-tron quattro Premium Plus,86340.0,0.0,0.0
2019 BMW 330i xDrive,56305.0,0.0,0.0
2019 BMW X1 xDrive28i,42495.0,22.0,31.0
2019 BMW X5 xDrive40i,67495.0,20.0,26.0
2019 Buick Enclave Essence,33591.5,18.0,26.0
2019 Buick Enclave Premium,47479.5,18.0,26.0
2019 Buick Encore Preferred,23977.571428571428,25.0,30.0
2019 Buick Encore Sport Touring,25288.0,24.0,29.0
2019 Buick Envision Essence,31606.0,21.0,27.0
2019 Buick Envision Preferred,29460.0,22.0,29.0
2019 Buick Regal Sportback Avenir,32278.0,22.0,32.0
2019 Buick Regal Sportback Preferred,26835.0,22.0,32.0
2019 Buick Regal TourX Essence,35714.0,21.0,29.0
2019 Cadillac CTS Luxury RWD,49065.0,19.0,29.0
2019 Cadillac Escalade ESV Luxury,77202.0,14.0,21.0
2019 Cadillac Escalade Luxury,78191.0,14.0,21.0
2019 Cadillac XT4 AWD Luxury,35239.5,24.0,30.0
2019 Cadillac XT4 AWD Premium Luxury,40750.333333333336,24.0,30.0
2019 Cadillac XT4 FWD Premium Luxury,40007.5,24.0,30.0
2019 Cadillac XT4 FWD Sport,44660.0,24.0,30.0
2019 Cadillac XT4 Luxury,35836.75,24.0,30.0
2019 Cadillac XT4 Premium Luxury,42279.642857142855,24.0,30.0
2019 Cadillac XT4 Sport,40137.083333333336,24.0,30.0
2019 Cadillac XT5 Base,43390.0,19.0,26.0
2019 Cadillac XT5 Luxury,49185.0,18.0,25.0
2019 Cadillac XT5 Premium Luxury,56947.5,18.0,25.0
2019 Cadillac XTS Luxury,49500.0,19.0,28.0
2019 Cadillac XTS Premium Luxury,57613.0,17.0,26.0
2019 Chevrolet Blazer 1LT,30832.0,0.0,0.0
2019 Chevrolet Blazer 2LT,33206.5,18.0,25.0
2019 Chevrolet Blazer 3LT,37411.0,18.0,25.0
2019 Chevrolet Blazer Premier,47553.5,20.0,26.0
2019 Chevrolet Blazer RS,39359.0,20.0,26.0
2019 Chevrolet Bolt EV LT,29051.0,128.0,110.0
2019 Chevrolet Bolt EV Premier,34457.5,128.0,110.0
2019 Chevrolet Camaro 1LT,29495.0,20.0,30.0
2019 Chevrolet Colorado LT,32683.666666666668,18.0,25.0
2019 Chevrolet Cruze LT,20057.666666666668,28.0,38.0
2019 Chevrolet Equinox 2LT,26215.666666666668,22.0,29.0
2019 Chevrolet Equinox LT,34031.0,0.0,0.0
2019 Chevrolet Equinox Premier,32044.0,22.0,29.0
2019 Chevrolet Express 2500 Work Van,39247.75,0.0,0.0
2019 Chevrolet Impala 1LS,23252.0,22.0,29.0
2019 Chevrolet Impala 1LT,28506.666666666668,22.0,29.0
2019 Chevrolet Impala Premier 2LZ,32684.0,19.0,28.0
2019 Chevrolet LT,40564.0,0.0,0.0
2019 Chevrolet Silverado 1500 Custom,35174.0,16.0,21.0
2019 Chevrolet Silverado 1500 High Country,52895.166666666664,17.0,23.0
2019 Chevrolet Silverado 1500 LT,40172.666666666664,18.0,21.0
2019 Chevrolet Silverado 1500 LT Trail Boss,47215.71428571428,15.0,20.0
2019 Chevrolet Silverado 1500 LTZ,47056.75,16.0,22.0
2019 Chevrolet Silverado 1500 RST,44428.066666666666,18.666666666666668,21.466666666666665
2019 Chevrolet Silverado 1500 WT,43675.0,16.0,21.0
2019 Chevrolet Silverado 2500 High Country,59036.0,0.0,0.0
2019 Chevrolet Silverado 2500 LT,53904.0,0.0,0.0
2019 Chevrolet Silverado 2500 LTZ,56674.0,0.0,0.0
2019 Chevrolet Sonic LT,16232.142857142857,26.857142857142858,37.57142857142857
2019 Chevrolet Spark 1LT,13829.6,29.0,38.0
2019 Chevrolet Spark 2LT,15984.5,29.0,38.0
2019 Chevrolet Spark ACTIV,17731.666666666668,29.0,37.0
2019 Chevrolet Spark LS,13286.777777777777,29.0,38.0
2019 Chevrolet Suburban Premier,66840.0,14.0,21.0
2019 Chevrolet Tahoe Premier,60431.0,15.0,22.0
2019 Chevrolet Traverse High Country,46578.0,17.0,25.0
2019 Chevrolet Traverse LT Cloth,34829.0,17.0,25.0
2019 Chevrolet Trax LS,18829.875,24.0,29.0
2019 Chevrolet Trax LT,22843.666666666668,26.0,31.0
2019 Chevrolet Work Van,47515.333333333336,0.0,0.0
2019 Chrysler 300 Limited,43135.0,19.0,30.0
2019 Chrysler 300 S,36677.333333333336,19.0,30.0
2019 Chrysler 300 Touring,27036.0,19.0,30.0
2019 Chrysler Pacifica Touring-L,36339.0,19.0,28.0
2019 Dodge Charger Scat Pack,45725.0,15.0,24.0
2019 Dodge Grand Caravan SE,24715.0,17.0,25.0
2019 Dodge Journey Crossroad,23475.6875,16.0,24.0
2019 Dodge Journey GT,28308.625,16.0,24.0
2019 Dodge Journey R/T,27044.0,0.0,0.0
2019 Dodge Journey SE,20133.333333333332,19.0,25.0
2019 Dodge Journey SE Value Package,17783.583333333332,19.0,25.0
2019 Dodge Limited,68564.0,0.0,0.0
2019 FIAT 500 Pop,15018.307692307691,28.0,33.0
2019 FIAT 500X Pop,23230.0,24.0,30.0
2019 Ford Base,25752.0,0.0,0.0
2019 Ford EcoSport SES,21941.0,23.0,29.0
2019 Ford EcoSport Titanium,25396.0,27.0,29.0
2019 Ford Edge SE,27535.0,22.0,29.0
2019 Ford Edge SEL,35906.666666666664,21.0,28.0
2019 Ford Edge ST,45984.5,19.0,26.0
2019 Ford Edge Titanium,32542.0,22.0,29.0
2019 Ford Escape S,18374.0,21.0,29.0
2019 Ford Escape SE,24026.0,22.0,28.0
2019 Ford Escape SEL,29547.75,23.0,30.0
2019 Ford Escape Titanium,29186.0,21.0,27.0
2019 Ford Expedition Limited,70509.5,17.0,24.0
2019 Ford Expedition Max XLT,49770.0,16.0,21.0
2019 Ford Expedition Platinum,70742.66666666667,17.0,22.0
2019 Ford Expedition XLT,51019.5,17.0,22.0
2019 Ford F-150 King Ranch,59536.166666666664,16.0,22.0
2019 Ford F-150 LARIAT,48479.5,20.0,26.0
2019 Ford F-150 Lariat,52868.944444444445,20.0,26.0
2019 Ford F-150 Limited,64782.0,17.0,22.0
2019 Ford F-150 Platinum,58118.153846153844,16.0,22.0
2019 Ford F-150 Raptor,75950.0,15.0,18.0
