,Make,Model,Price:AK,Price:AL,Price:AZ,Price:AR,Price:CA,Price:CO,Price:CT,Price:DE,Price:FL,Price:GA,Price:HI,Price:ID,Price:IL,Price:IN,Price:IA,Price:KS,Price:KY,Price:LA,Price:ME,Price:MD,Price:MA,Price:MI,Price:MN,Price:MS,Price:MO,Price:MT,Price:NE,Price:NV,Price:NH,Price:NJ,Price:NM,Price:NY,Price:NC,Price:ND,Price:OH,Price:OK,Price:OR,Price:PA,Price:RI,Price:SC,Price:SD,Price:TN,Price:TX,Price:UT,Price:VT,Price:VA,Price:WA,Price:WV,Price:WI,Price:WY,assembled_name,price,city_mpg,highway_mpg
20,Acura,RDX,1258.5,1072.0,1292.5,1562.0,1946.0,1723.5,1693.0,1820.0,2012.0,2175.0,1625.0,1289.5,1044.0,1173.5,1225.5,1080.0,1407.0,1566.0,2183.0,884.0,1555.5,1373.5,2361.5,1220.0,1521.0,1228.0,1603.0,1265.5,1602.5,1115.5,1507.5,1395.0,1725.0,1013.0,1196.5,1191.5,2556.5,1253.5,1202.5,1947.0,1337.0,1289.0,1452.0,1617.0,1055.5,1184.0,1019.0,1399.0,1416.0,943.5,Acura RDX,40595.0,21.0,27.0
21,Acura,RDX A-Spec,1266.0,1124.0,1326.5,1560.5,1959.0,1728.0,1668.5,1826.0,2033.0,2180.5,1631.5,1340.0,1058.5,1206.5,1228.5,1088.5,1417.0,1578.0,2186.0,897.5,1581.0,1389.0,2423.0,1273.5,1519.0,1247.5,1611.5,1277.0,1597.0,1101.0,1436.0,1395.5,1809.5,1071.0,1207.5,1176.0,2490.5,1262.5,1199.5,1911.5,1365.0,1308.0,1437.5,1669.0,1037.0,1189.5,1026.0,1404.5,1428.5,941.5,Acura RDX A-Spec,45497.5,22.0,27.0
23,Acura,RDX Tech,1290.5,1099.5,1316.5,1611.0,1996.5,1773.5,1735.0,1871.0,2086.5,2202.0,1648.0,1325.0,1079.0,1203.0,1255.0,1114.0,1464.0,1612.5,2215.5,914.5,1599.0,1432.5,2423.0,1248.5,1578.5,1265.5,1660.0,1313.0,1637.0,1147.0,1539.5,1436.5,1787.5,1046.5,1252.5,1214.5,2606.5,1285.0,1238.5,1982.5,1358.5,1352.0,1480.5,1653.0,1091.0,1216.0,1040.0,1421.5,1461.5,970.5,Acura RDX Tech,42795.0,22.0,28.0
38,Alfa-Romeo,Giulia,1907.0,1599.0,1923.0,2483.0,2980.0,2510.0,2246.0,2491.0,2668.0,2488.0,2357.0,1667.0,1530.0,1818.0,1688.0,1625.0,2314.0,2155.0,2658.0,1336.0,2133.0,1841.0,3319.0,1889.0,2099.0,1888.0,2533.0,2006.0,2144.0,1593.0,1819.0,2089.0,2496.0,1463.0,1976.0,1618.0,2957.0,1705.0,1663.0,2626.0,1830.0,2186.0,1858.0,2354.0,1499.0,1630.0,1618.0,2094.0,2013.0,1380.0,Alfa-Romeo Giulia,45190.0,23.0,31.0
49,Alfa-Romeo,Stelvio,1720.0,1470.0,1793.0,2265.0,2481.0,2346.0,2035.0,2293.0,2652.0,2376.0,2001.0,1527.0,1495.0,1681.0,1582.0,1538.0,2206.0,2053.0,2558.0,1164.0,1954.0,1748.0,3222.0,1806.0,1947.0,1749.0,2391.0,1901.0,1972.0,1401.0,1717.0,1927.0,2324.0,1364.0,1905.0,1490.0,2570.0,1631.0,1559.0,2239.0,1669.0,2138.0,1722.0,2163.0,1308.0,1583.0,1312.0,1883.0,1939.0,1291.0,Alfa-Romeo Stelvio,45940.0,22.0,29.0
54,Alfa-Romeo,Stelvio TI,1589.0,1482.0,1672.0,2076.0,2500.0,2391.0,2036.0,2306.0,2656.0,2381.0,2002.0,1541.0,1387.0,1571.0,1590.0,1561.0,1912.0,2054.0,2568.0,1161.0,1953.0,1753.0,3015.0,1823.0,1970.0,1623.0,2125.0,1723.0,1974.0,1409.0,1711.0,1774.0,2360.0,1389.0,1706.0,1419.0,2352.0,1578.0,1569.0,2242.0,1689.0,1884.0,1722.0,2184.0,1445.0,1496.0,1312.0,1896.0,1958.0,1203.0,Alfa-Romeo Stelvio TI,46840.0,22.0,28.0
72,Audi,A4 2.0T Premium Plus,1694.0,1659.0,1853.0,2154.0,2455.0,2267.0,2165.0,2392.0,2447.0,2528.0,2318.0,1723.0,1365.0,1788.0,1554.0,1485.0,1913.0,2106.0,2853.0,1221.0,2099.0,1758.0,3157.0,1751.0,1929.0,1694.0,2188.0,1752.0,1888.0,1492.0,1968.0,1835.0,2376.0,1446.0,1671.0,1653.0,2644.0,1640.0,1733.0,2508.0,1853.0,1816.0,1759.0,2349.0,1545.0,1566.0,1639.0,1678.0,1933.0,1304.0,Audi A4 2.0T Premium Plus,48340.0,0.0,0.0
101,Audi,Etron Premium Plus,1683.0,1601.0,1843.0,2132.0,2464.0,2358.0,2128.0,2483.0,2633.0,2522.0,2205.0,1647.0,1439.0,1753.0,1579.0,1474.0,1949.0,2145.0,2721.0,1188.0,2184.0,1769.0,3201.0,1825.0,1949.0,1732.0,2189.0,1769.0,1895.0,1414.0,1823.0,1817.0,2485.0,1492.0,1713.0,1479.0,2460.0,1679.0,1639.0,2337.0,1815.0,1896.0,1694.0,2420.0,1377.0,1573.0,1472.0,1824.0,1975.0,1248.0,Audi Etron Premium Plus,86340.0,0.0,0.0
104,Audi,Etron Prestige,1800.0,1667.0,2002.0,2163.0,2623.0,2459.0,2148.0,2506.0,2666.0,2543.0,2231.0,1841.0,1458.0,1858.0,1602.0,1633.0,2079.0,2191.0,2900.0,1197.0,2210.0,1965.0,3322.0,1894.0,2046.0,1931.0,2324.0,1904.0,1898.0,1492.0,1837.0,1836.0,2688.0,1625.0,1777.0,1577.0,2599.0,1695.0,1686.0,2364.0,1944.0,2004.0,1715.0,2495.0,1441.0,1620.0,1492.0,1981.0,2047.0,1279.0,Audi Etron Prestige,86340.0,0.0,0.0
108,Audi,Q3 2.0T Prestige,1451.0,1317.0,1536.0,1825.0,2301.0,2060.0,1854.0,2052.0,2247.0,2311.0,1836.0,1424.0,1222.0,1371.0,1405.0,1261.0,1607.0,1864.0,2276.0,1019.0,1850.0,1400.0,2616.0,1509.0,1721.0,1402.0,1843.0,1467.0,1717.0,1212.0,1573.0,1574.0,2084.0,1277.0,1422.0,1304.0,2085.0,1479.0,1406.0,2063.0,1516.0,1528.0,1531.0,1928.0,1172.0,1375.0,1226.0,1671.0,1700.0,1091.0,Audi Q3 2.0T Prestige,44840.0,0.0,0.0
