,Total new passenger car sales
1970,8400.0
1975,8624.0
1980,8949.235
1985,10979.187
1990,9303.215
1991,8184.979
1992,8213.113000000001
1993,8517.859
1994,8990.517
1995,8620.159
1996,8478.545
1997,8217.48
1998,8084.989
1999,8637.708
2000,8777.723
2001,8352.0
2002,8042.255000000001
2003,7555.5509999999995
2004,7482.555
2005,7659.983
2006,7761.592000000001
2007,7562.334
2008,6769.134
2009,5401.565
2010,5635.739
2011,6092.861
2012,7245.169
2013,7586.334000000001
2014,7708.299999999999
2015,7516.825999999999
2016,6872.729
2017,6080.228999999999
